! File name: A_nidulans_FGSC_A4_version_s10-m04-r08_chromosomal_feature.tab
! Organism: Aspergillus nidulans FGSC A4
! Genome version: s10-m04-r08
! Date created: Sun May  6 07:11:07 2018
! Created by: The Aspergillus Genome Database (http://www.aspergillusgenome.org/)
! Contact Email: aspergillus-curator AT lists DOT stanford DOT edu
! Funding: NIAID at US NIH, grant number R01-AI077599-01
!
AN0004		ANIA_00004	pseudogene	ChrVIII_A_nidulans_FGSC_A4	4914421	4920271	W	ASPL0000082218		Possible pseudogene, Gypsy element-related	2009-11-13	2009-11-13				N	
AN0005		ANIA_00005|ANID_00005	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4912155	4911628	C	ASPL0000057382		Ortholog of A. niger CBS 513.88 : An03g02250, Aspergillus tubingensis : Asptu1_0080862, Aspergillus kawachii : Aspka1_0180365, Aspergillus acidus : Aspfo1_0194711 and Aspergillus wentii : Aspwe1_0734587	2009-03-03	2010-05-24				N	
AN0006		ANIA_00006|ANID_00006	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4911099	4910728	C	ASPL0000060569		Ortholog of Neosartorya fischeri NRRL 181 : NFIA_005440, Aspergillus versicolor : Aspve1_0175571, Aspergillus clavatus NRRL 1 : ACLA_062940, ACLA_090730 and Aspergillus sydowii : Aspsy1_0047904	2009-03-03	2009-03-03				N	
AN0007		ANIA_00007|ANID_00007	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4909380	4910315	W	ASPL0000052314		Ortholog of A. nidulans FGSC A4 : AN6322, AN0902 and A. fumigatus Af293 : Afu1g01340, Afu1g15680, Afu3g01640	2009-03-03	2009-03-03				N	
AN0008	CYP669A1P	ANIA_00008|ANID_00008	pseudogene	ChrVIII_A_nidulans_FGSC_A4	4907221	4908728	W	ASPL0000082036		Possible pseudogene, similar to cytochrome P450	2009-11-13	2009-11-13				N	
AN0009		ANIA_00009|ANID_00009	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4900217	4904305	W	ASPL0000058548		Has domain(s) with predicted catalytic activity, hydrolase activity	2009-03-03	2009-03-03				N	
AN0010		ANIA_00010|ANID_00010	pseudogene	ChrVIII_A_nidulans_FGSC_A4	4899199	4897622	C	ASPL0000082106		Possible pseudogene, similar to amino acid transporter	2009-11-13	2009-11-13				N	
AN0011		ANIA_00011|ANID_00011	pseudogene	ChrVIII_A_nidulans_FGSC_A4	4896034	4894570	C	ASPL0000082284		Possible pseudogene	2009-11-13	2009-11-13				N	
AN0012		ANIA_00012|ANID_00012	ORF|Verified	ChrVIII_A_nidulans_FGSC_A4	4891064	4890306	C	ASPL0000059946		Ortholog of A. fumigatus Af293 : Afu5g10930, A. oryzae RIB40 : AO090701000510, Aspergillus flavus NRRL 3357 : AFL2T_06133 and Neosartorya fischeri NRRL 181 : NFIA_076310	2009-03-03	2009-03-03				N	
AN0013		ANIA_00013|ANID_00013	pseudogene	ChrVIII_A_nidulans_FGSC_A4	4886411	4884695	C	ASPL0000082312		Possible pseudogene	2009-11-13	2009-11-13				N	
AN0014		ANIA_00014|ANID_00014	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4882458	4883659	W	ASPL0000054805		Ortholog of Aspergillus versicolor : Aspve1_0040337, Aspergillus sydowii : Aspsy1_0029973 and Aspergillus terreus NIH2624 : ATET_01744	2009-03-03	2010-05-24				N	
AN0015		ANIA_00015|ANID_00015	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4871099	4876233	W	ASPL0000057995		Has domain(s) with predicted ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances, nucleoside-triphosphatase activity, nucleotide binding activity and role in transmembrane transport	2009-03-03	2009-03-03				N	
AN0016		ANIA_00016|ANID_00016	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4868710	4850517	C	ASPL0000061128		Putative nonribosomal peptide synthase	2009-03-03	2009-03-03				N	
AN0017		ANIA_00017|ANID_00017	ORF|Uncharacterized	ChrVIII_A_nidulans_FGSC_A4	4849025	4849885	W	ASPL0000052862		Has domain(s) with predicted copper ion binding activity and role in copper ion homeostasis	2009-03-03	2009-03-03				N	
